ticker,type,strike,expiration,bid,ask,mid,iv,ivr,delta,volume,open_interest
AAPL,CALL,230.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,232.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,235.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,237.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,240.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,242.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,245.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,247.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,250.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,252.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,255.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,257.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,260.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,262.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,265.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,267.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,270.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,272.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,275.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,277.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,280.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,282.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,285.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,287.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,290.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,292.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,295.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,297.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,300.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,305.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,310.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,315.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,320.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,325.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,330.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,335.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,340.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,345.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,350.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,355.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,360.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,365.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,370.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,375.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,380.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,385.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,390.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,395.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,400.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,110.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,120.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,125.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,130.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,135.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,140.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,145.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,150.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,155.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,160.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,165.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,170.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,175.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,180.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,185.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,190.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,195.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,200.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,205.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,210.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,215.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,220.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,225.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,230.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,232.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,235.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,237.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,240.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,242.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,245.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,247.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,250.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,252.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,255.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,257.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,260.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,262.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,265.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,267.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,270.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,272.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,275.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,277.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,280.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,282.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,285.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,287.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,290.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,292.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,295.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,297.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,300.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,305.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,310.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,315.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,320.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,325.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,330.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,335.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,340.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,345.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,350.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,355.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,360.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,365.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,370.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,375.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,380.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,385.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,390.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,395.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,PUT,400.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,5.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,10.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,15.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,20.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,25.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,30.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,35.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,40.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,45.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,50.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,55.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,60.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,65.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,70.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,75.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,80.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,85.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,90.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,95.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,100.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,105.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,110.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,115.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,120.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,125.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,130.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,135.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,140.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,145.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,150.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,155.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,160.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,165.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,170.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,175.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,180.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,185.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,190.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,195.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,200.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,205.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,210.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,215.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,220.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,225.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,230.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,235.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,240.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,245.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,247.50,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,250.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,252.50,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,255.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,257.50,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,260.00,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
AAPL,CALL,262.50,2026-01-16,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,270.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,280.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,290.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,300.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,310.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,320.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,325.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,330.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,335.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,340.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,345.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,350.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,355.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,360.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,365.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,370.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,375.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,380.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,385.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,390.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,395.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,400.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,405.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,410.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,415.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,420.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,425.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,430.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,435.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,440.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,442.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,445.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,447.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,450.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,452.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,455.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,457.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,460.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,462.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,465.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,467.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,470.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,472.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,475.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,477.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,480.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,482.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,485.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,487.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,490.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,492.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,495.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,497.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,500.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,502.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,505.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,507.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,510.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,512.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,515.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,517.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,520.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,522.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,525.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,527.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,530.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,532.50,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,535.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,540.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,545.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,550.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,555.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,560.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,565.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,570.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,575.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,580.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
MSFT,CALL,585.00,2026-01-09,0.00,0.00,0.00,0.0000,0.00,0.0000,0,0
