Ticker,FilingDate,TxnDate,Insider,Title,Role,Code,AcqDisp,Shares,Price,Value,Is10b5,AgeDays,Notes,SourceURL
HQY,2025-12-19,2025-12-18,Rosner Elimelech,"EVP, CHIEF TECHNOLOGY OFFICER",OTHER,S,D,10959,95.45,1046090,N,26,,https://www.sec.gov/Archives/edgar/data/1428336/000191631225000008/form4-12192025_101205.xml
ZS,2025-12-17,2025-12-16,Schlossman Robert,Chief Legal Officer,OFFICER,S,D,3084,230.82,711847,Y,28,10b5-1 suspected (doc),https://www.sec.gov/Archives/edgar/data/1713683/000171368325000224/wk-form4_1766014764.xml
ZS,2025-12-17,2025-12-17,Schlossman Robert,Chief Legal Officer,OFFICER,S,D,2349,232.79,546824,Y,28,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1713683/000171368325000224/wk-form4_1766014764.xml
ZS,2025-12-17,2025-12-16,Rich Michael J.,CRO and President of WW Sales,PRESIDENT,S,D,4100,230.82,946359,N,28,,https://www.sec.gov/Archives/edgar/data/1713683/000171368325000223/wk-form4_1766014755.xml
ZS,2025-12-17,2025-12-16,RUBIN KEVIN,Chief Financial Officer,CFO,S,D,3303,230.82,762396,N,28,,https://www.sec.gov/Archives/edgar/data/1713683/000171368325000222/wk-form4_1766014749.xml
ZS,2025-12-17,2025-12-16,Chaudhry Jagtar Singh,CEO & Chairman,OFFICER,S,D,2843,230.82,656219,N,28,,https://www.sec.gov/Archives/edgar/data/1713683/000171368325000221/wk-form4_1766014741.xml
ZS,2025-12-17,2025-12-16,Judge Raj,"EVP, Corp. Strategy & Ventures",OFFICER,S,D,3438,230.82,793557,N,28,,https://www.sec.gov/Archives/edgar/data/1713683/000171368325000219/wk-form4_1766014724.xml
SKWD,2025-12-16,2025-12-12,Kapadia Sandip A,Head of Actuarial,OTHER,S,D,1486,50.03,74345,Y,29,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1519449/000193713225000003/form4-12162025_041201.xml
SKWD,2025-12-16,2025-12-12,Kapadia Sandip A,Head of Actuarial,OTHER,S,D,1200,50.01,60012,Y,29,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1519449/000193713225000003/form4-12162025_041201.xml
JOBY,2025-12-16,2025-12-15,Papadopoulos Didier,President of Aircraft OEM,PRESIDENT,S,D,5987,14.99,89745,Y,29,10b5-1 suspected (doc),https://www.sec.gov/Archives/edgar/data/1819848/000181984825000611/wk-form4_1765924321.xml
JOBY,2025-12-16,2025-12-16,Papadopoulos Didier,President of Aircraft OEM,PRESIDENT,S,D,1979,14.08,27864,Y,29,10b5-1 suspected,https://www.sec.gov/Archives/edgar/data/1819848/000181984825000611/wk-form4_1765924321.xml
HQY,2025-12-16,2025-12-12,Wellborn Gayle Furgurson,,OWNER,S,D,4339,98.03,425331,N,29,,https://www.sec.gov/Archives/edgar/data/1428336/000171296025000004/form4-12162025_081258.xml
BX,2025-12-16,2025-12-16,Blackstone EMA III L.L.C.,,OWNER,S,D,5200808,45.00,234036360,N,29,,https://www.sec.gov/Archives/edgar/data/1393818/000119312525320840/ownership.xml
BX,2025-12-16,2025-12-16,Blackstone EMA III L.L.C.,,OWNER,S,D,3201370,45.00,144061650,N,29,,https://www.sec.gov/Archives/edgar/data/1393818/000119312525320840/ownership.xml
